class	supervoxel_id	root_id	group	side	type	Namiki_name	synonyms	comment	long_tract	soma_location	soma_division	neuropil	neuropilgroup	cluster	confidence_LM_1_5	x	y	z
DN	80084854292848803	720575940626672058	720575940626672058	R	DNge056					g	brain	GNG	GNG	3		137624	84347	5798
DN	80296235067802072	720575940648180868	720575940627403578	L	DNge057					g	brain	GNG	GNG	3		126399	81953	5798
DN	77762341802498890	720575940627403578	720575940627403578	R	DNge057					g	brain	GNG	GNG	3		137588	83465	5798
DN	81632829024662315	720575940613589167	720575940606633248	L	DNge058					g	brain	GNG	GNG	12		126548	81936	5798
DN	78888791666017058	720575940606633248	720575940606633248	R	DNge058					g	brain	GNG	GNG	12		137592	84072	5798
DN	80084854292839287	720575940619877396	720575940615671106	L	DNge059					g	brain	GNG	GNG	11		137235	84452	5798
DN	79310660667926327	720575940615671106	720575940615671106	R	DNge059					g	brain	GNG	GNG	11		126289	82292	5799
DN	81562528999611740	720575940618291520	720575940618291520	L	DNge060					g	brain	GNG	GNG	12		136265	84980	5798
DN	78044091724124439	720575940630695798	720575940618291520	R	DNge060					g	brain	GNG	GNG	12		126530	82493	5799
DN	80929279089014798	720575940618863553	720575940618548244	L	DNge061					g	brain	GNG	GNG	11		138391	83349	5798
DN	78114391748685982	720575940621082111	720575940618548244	R	DNge061					g	brain	GNG	GNG	11		126541	81624	5798
DN	81210753998656388	720575940618548244	720575940618548244	L	DNge061					g	brain	GNG	GNG	11		138299	83397	5798
DN	78114323029363242	720575940621294218	720575940618548244	R	DNge061					g	brain	GNG	GNG	11		126489	81597	5798
DN	81633103835490852	720575940615023535	720575940615023535	L	DNge062					g	brain	GNG	GNG	12		126676	81762	5798
DN	77691904472572883	720575940627099338	720575940615023535	R	DNge062					g	brain	GNG	GNG	12		137503	83346	5798
DN	79733422754931330	720575940617950877	720575940616597334	L	DNge063					g	brain	GNG	GNG	11		126762	81891	5798
DN	79240772826201170	720575940616597334	720575940616597334	R	DNge063					g	brain	GNG	GNG	11		138050	84226	5798
DN	81421997602851991	720575940626319235	720575940626319235	L	DNge064					g	brain	GNG	GNG	12		137422	84517	5798
DN	78255404115189406	720575940636333710	720575940626319235	R	DNge064					g	brain	GNG	GNG	12		126534	82035	5798
DN	81421928816282892	720575940627167516	720575940627167516	L	DNge065					g	brain	GNG	GNG	10		138049	83748	5798
DN	77692041777641880	720575940633293025	720575940627167516	R	DNge065					g	brain	GNG	GNG	10		126522	81831	5798
DN	80366535092560730	720575940627827697	720575940622537477	L	DNge067					g	brain	GNG	GNG	3		137738	83767	5798
DN	77973791698917604	720575940622537477	720575940622537477	R	DNge067					g	brain	GNG	GNG	3		125990	82224	5799
DN	81562735091101836	720575940615578043	720575940611881139	L	DNge068					g	brain	GNG	GNG	12		137883	84549	5798
DN	77973654260599697	720575940611881139	720575940611881139	R	DNge068					g	brain	GNG	GNG	12		126086	82048	5798
DN	80366672531614031	720575940627234069	720575940618405686	L	DNge069					g	brain	GNG	GNG	12		137915	83530	5798
DN	79029735111738059	720575940618405686	720575940618405686	R	DNge069					g	brain	GNG	GNG	12		126005	81760	5798
DN	80647529234394013	720575940651932150	720575940647755641	L	DNge070					g	brain	IPS_SPS	PS_LAL	6		127363	75264	5798
DN	78959091690727367	720575940647755641	720575940647755641	R	DNge070					g	brain	IPS_SPS	PS_LAL	6		136441	75767	5798
DN	80506860465598957	720575940636098367	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		126985	76006	5798
DN	80506860465583749	720575940628745209	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		128669	75728	5699
DN	80506929185059380	720575940609733582	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		128672	75896	5734
DN	80506860465597709	720575940612335539	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		128125	75890	5798
